Bar_name,Module,Min_X,Min_Y,Min_Z,Max_X,Max_Y,Max_Z,Nodes,Physical_Bars,Physical_Nodes,Adjacent_Nodes,Adjacent_Physical_Bars,Adjacent_Bars,Adjacent_Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
LAW-OLD,14,30.4079,-2.88558,74.5791,67.204,9.60728,83.3286,LAW_OLD,LAW-OLD-14,LAW-14_OLD-14,RIB_HOT_LAB_ZAP_EVE_FOG,LAW-RIB-14_HOT-OLD-13_LAB-OLD-13_OLD-ZAP-13_EVE-OLD-14_FOG-OLD-14,LAW-RIB_HOT-OLD_LAB-OLD_OLD-ZAP_EVE-OLD_FOG-OLD,RIB-14_HOT-13_LAB-13_ZAP-13_EVE-14_FOG-14,0,in_to_out,right
FOG-TAU,14,27.423,-24.3194,68.645,50.9913,-16.0745,90.4769,FOG_TAU,FOG-TAU-14,FOG-14_TAU-14,TRY_RIB_OLD_LAB,FOG-RIB-14_FOG-OLD-14_FOG-TRY-6_LAB-TAU-13,FOG-TRY_FOG-RIB_FOG-OLD_LAB-TAU,RIB-14_OLD-14_TRY-6_LAB-13,0,in_to_out,right
FOG-OLD,14,27.423,-16.0745,83.3286,67.204,-2.88558,90.4769,FOG_OLD,FOG-OLD-14,FOG-14_OLD-14,TAU_TRY_RIB_HOT_LAB_ZAP_EVE_LAW,FOG-TAU-14_FOG-RIB-14_FOG-TRY-6_HOT-OLD-13_LAB-OLD-13_OLD-ZAP-13_EVE-OLD-14_LAW-OLD-14,FOG-TAU_FOG-TRY_FOG-RIB_HOT-OLD_LAB-OLD_OLD-ZAP_EVE-OLD_LAW-OLD,TAU-14_RIB-14_TRY-6_HOT-13_LAB-13_ZAP-13_EVE-14_LAW-14,0,outer,right
LAW-RIB,14,2.4488,-0.528874,74.5791,30.4079,9.60728,90.7215,LAW_RIB,LAW-RIB-14,LAW-14_RIB-14,OLD_ERA_FOG_JUG_SOY_IRE,LAW-OLD-14_ERA-RIB-14_FOG-RIB-14_IRE-RIB-14_JUG-RIB-6_RIB-SOY-6,LAW-OLD_ERA-RIB_FOG-RIB_JUG-RIB_RIB-SOY_IRE-RIB,OLD-14_ERA-14_FOG-14_IRE-14_JUG-6_SOY-6,0,in_to_out,mid
FOG-RIB,14,2.4488,-16.0745,90.4769,27.423,-0.528874,90.7215,FOG_RIB,FOG-RIB-14,FOG-14_RIB-14,TAU_TRY_OLD_ERA_JUG_SOY_IRE_LAW,FOG-TAU-14_FOG-OLD-14_FOG-TRY-6_ERA-RIB-14_IRE-RIB-14_LAW-RIB-14_JUG-RIB-6_RIB-SOY-6,FOG-TAU_FOG-TRY_FOG-OLD_ERA-RIB_JUG-RIB_RIB-SOY_IRE-RIB_LAW-RIB,TAU-14_OLD-14_TRY-6_ERA-14_IRE-14_LAW-14_JUG-6_SOY-6,0,outer,mid
ERA-RIB,14,-14.5776,-0.528874,68.9337,2.4488,13.293,90.7215,ERA_RIB,ERA-RIB-14,ERA-14_RIB-14,AHI_FOG_JUG_SOY_IRE_LAW,AHI-ERA-7_FOG-RIB-14_IRE-RIB-14_LAW-RIB-14_JUG-RIB-6_RIB-SOY-6,AHI-ERA_FOG-RIB_JUG-RIB_RIB-SOY_IRE-RIB_LAW-RIB,AHI-7_FOG-14_IRE-14_LAW-14_JUG-6_SOY-6,0,in_to_out,mid
IRE-RIB,14,2.4488,-0.528874,81.9744,3.53224,37.0333,90.7215,IRE_RIB,IRE-RIB-14,IRE-14_RIB-14,AHI_MAC_EVE_ERA_FOG_JUG_SOY_LAW,EVE-IRE-14_AHI-IRE-7_IRE-MAC-7_ERA-RIB-14_FOG-RIB-14_LAW-RIB-14_JUG-RIB-6_RIB-SOY-6,AHI-IRE_IRE-MAC_EVE-IRE_ERA-RIB_FOG-RIB_JUG-RIB_RIB-SOY_LAW-RIB,EVE-14_AHI-7_MAC-7_ERA-14_FOG-14_LAW-14_JUG-6_SOY-6,0,outer,mid
EVE-GIG,14,25.4113,32.4808,60.4107,46.6843,46.0845,82.8557,EVE_GIG,EVE-GIG-14,EVE-14_GIG-14,OLD_IRE_FAX_AIR,EVE-OLD-14_EVE-IRE-14_EVE-FAX-14_AIR-GIG-11,EVE-OLD_EVE-IRE_EVE-FAX_AIR-GIG,OLD-14_IRE-14_FAX-11_AIR-11,0,in_to_out,right
EVE-IRE,14,3.53224,32.4808,81.9744,46.6843,37.0333,82.8557,EVE_IRE,EVE-IRE-14,EVE-14_IRE-14,OLD_GIG_FAX_AHI_MAC_RIB,EVE-OLD-14_EVE-GIG-14_EVE-FAX-14_IRE-RIB-14_AHI-IRE-7_IRE-MAC-7,EVE-OLD_EVE-GIG_EVE-FAX_AHI-IRE_IRE-MAC_IRE-RIB,OLD-14_GIG-14_FAX-11_RIB-14_AHI-7_MAC-7,0,outer,mid
EVE-OLD,14,46.6843,-2.88558,82.8557,67.204,32.4808,83.3286,EVE_OLD,EVE-OLD-14,EVE-14_OLD-14,GIG_IRE_FAX_HOT_LAB_ZAP_FOG_LAW,EVE-GIG-14_EVE-IRE-14_EVE-FAX-14_HOT-OLD-13_LAB-OLD-13_OLD-ZAP-13_FOG-OLD-14_LAW-OLD-14,EVE-GIG_EVE-IRE_EVE-FAX_HOT-OLD_LAB-OLD_OLD-ZAP_FOG-OLD_LAW-OLD,GIG-14_IRE-14_FAX-11_HOT-13_LAB-13_ZAP-13_FOG-14_LAW-14,0,outer,right
AIR-GIG,11,25.4113,46.0845,58.073,35.4151,75.9945,60.4107,AIR_GIG,AIR-GIG-11,AIR-11_GIG-11,ODD_MAC_FAX_FIX_EVE,AIR-ODD-11_AIR-MAC-11_AIR-FAX-11_AIR-FIX-11_EVE-GIG-14,AIR-ODD_AIR-MAC_AIR-FAX_AIR-FIX_EVE-GIG,ODD-11_MAC-11_FAX-11_FIX-11_EVE-14,0,in_to_out,right
AIR-ODD,11,35.4151,75.9945,35.491,41.236,94.7887,58.073,AIR_ODD,AIR-ODD-11,AIR-11_ODD-11,GIG_MAC_FAX_FIX_GAS_KEG,AIR-GIG-11_AIR-MAC-11_AIR-FAX-11_AIR-FIX-11_GAS-ODD-11_KEG-ODD-11,AIR-GIG_AIR-MAC_AIR-FAX_AIR-FIX_GAS-ODD_KEG-ODD,GIG-11_MAC-11_FAX-11_FIX-11_GAS-11_KEG-11,0,outer,right
AIR-MAC,11,3.83246,71.2277,58.073,35.4151,75.9945,64.6732,AIR_MAC,AIR-MAC-11,AIR-11_MAC-11,GIG_ODD_FAX_FIX_IRE_POP,AIR-GIG-11_AIR-ODD-11_AIR-FAX-11_AIR-FIX-11_IRE-MAC-7_MAC-POP-7,AIR-GIG_AIR-ODD_AIR-FAX_AIR-FIX_IRE-MAC_MAC-POP,GIG-11_ODD-11_FAX-11_FIX-11_IRE-7_POP-7,0,outer,mid
AIR-FAX,11,35.4151,54.3467,58.073,58.5537,75.9945,68.2163,AIR_FAX,AIR-FAX-11,AIR-11_FAX-11,GIG_ODD_MAC_FIX_COW_ZOO_LIE_EVE,AIR-GIG-11_AIR-ODD-11_AIR-MAC-11_AIR-FIX-11_COW-FAX-11_FAX-ZOO-11_FAX-LIE-11_EVE-FAX-14,AIR-GIG_AIR-ODD_AIR-MAC_AIR-FIX_COW-FAX_FAX-ZOO_FAX-LIE_EVE-FAX,GIG-11_ODD-11_MAC-11_FIX-11_COW-11_ZOO-11_LIE-11_EVE-14,0,outer,right
AIR-FIX,11,10.3837,75.9945,34.69,35.4151,81.1904,58.073,AIR_FIX,AIR-FIX-11,AIR-11_FIX-11,GIG_ODD_MAC_FAX_EYE,AIR-GIG-11_AIR-ODD-11_AIR-MAC-11_AIR-FAX-11_EYE-FIX-7,AIR-GIG_AIR-ODD_AIR-MAC_AIR-FAX_EYE-FIX,GIG-11_ODD-11_MAC-11_FAX-11_EYE-7,0,in_to_out,right
COW-KEG,11,60.2693,64.0599,20.5952,68.4782,92.348,37.16,COW_KEG,COW-KEG-11,COW-11_KEG-11,FAX_WHY_ODD_WAS,COW-FAX-11_KEG-ODD-11_KEG-WAS-11_KEG-WHY-8,COW-FAX_KEG-WHY_KEG-ODD_KEG-WAS,FAX-11_ODD-11_WAS-11_WHY-8,0,in_to_out,right
COW-FAX,11,58.5537,54.3467,37.16,60.2693,64.0599,68.2163,COW_FAX,COW-FAX-11,COW-11_FAX-11,KEG_AIR_ZOO_LIE_EVE,COW-KEG-11_AIR-FAX-11_FAX-ZOO-11_FAX-LIE-11_EVE-FAX-14,COW-KEG_AIR-FAX_FAX-ZOO_FAX-LIE_EVE-FAX,KEG-11_AIR-11_ZOO-11_LIE-11_EVE-14,0,in_to_out,right
